strain,phage,interaction
GCA_012547715.1,JALMBZ010000024.1,0
GCA_023501385.1,AARPVY010000057.1,0
GCA_014436145.1,CATUOQ010000004.1,0
GCA_012786555.1,RUCT02000055.1,0
GCA_020620965.1,ABDMKX010000031.1,1
GCA_012690745.1,AATATM010000024.1,1
GCA_021499305.1,DAFMKF010000040.1,1
GCA_018095605.1,AAVTHU010000089.1,0
GCA_902710335.2,CACSZR020000025.1,1
GCA_036283005.1,WFLG01000084.1,1
GCA_012439885.1,ABRFZH010000066.1,0
GCA_032792105.1,AARZYY010000030.1,0
GCA_004797355.1,JAHVSQ010000034.1,0
GCA_023215435.1,ABGAHN010000065.1,1
GCA_012352265.1,ABKRHY010000033.1,0
GCA_027951745.1,ABKDVV010000032.1,1
GCA_012265485.1,AARZGI010000032.1,0
GCA_032588795.1,AASWEW010000046.1,0
GCA_024484245.1,ABAMVG010000030.1,0
GCA_014889745.1,DAEWHC010000031.1,0
GCA_012035785.1,AATKAK010000072.1,0
GCA_017736305.1,DADRZW010000044.1,1
GCA_030199795.1,JARILA010000063.1,1
GCA_012084815.1,DADGYH010000057.1,0
GCA_001285845.1,CYBY01000064.1,1
GCA_013047825.1,ABJWYC010000050.1,0
GCA_021756165.1,DAECCY010000042.1,0
GCA_020343095.1,AARLMR010000036.1,0
GCA_012198215.1,AARXUJ010000073.1,1
GCA_012635125.1,AATGFT010000047.1,0
GCA_012567005.1,AASTPH010000051.1,1
GCA_011821715.1,AAQXLF010000063.1,1
GCA_002466105.1,NJLQ01000054.1,1
GCA_012504295.1,AASQYV010000058.1,1
GCA_021060185.1,AATBUB010000057.1,0
GCA_025288275.1,DAJGQI010000088.1,1
GCA_012323405.1,ABMPEG010000032.1,0
GCA_024885255.1,ABFDQB010000062.1,0
GCA_012236605.1,AARXSG010000090.1,1
GCA_025712225.1,ABIVLG010000067.1,1
GCA_015823865.1,AAXPGJ010000031.1,1
GCA_013776565.1,AAUNXT010000067.1,1
GCA_030780305.1,DAOWTI010000058.1,1
GCA_014439665.1,AAVVHF010000064.1,1
GCA_024755465.1,ABNMJV010000057.1,0
GCA_026217535.1,ABDJAL010000046.1,0
GCA_911104865.1,CAJVNI010000058.1,1
GCA_037906735.1,JAWJJJ010000058.1,1
GCA_002458165.1,NJTP01000061.1,1
GCA_018323305.1,BHQD01000059.1,1
GCA_030801925.1,ABBFNI010000069.1,0
GCA_014232185.1,ABCZVB010000067.1,0
GCA_033643545.1,JAATKP010000029.1,0
GCA_015038115.1,JZNW01000025.1,0
GCA_031352565.1,ABMEPV010000031.1,1
GCA_033396555.1,ABIUYG010000067.1,0
GCA_017759525.1,ABNNUC010000027.1,0
GCA_031645075.1,DAPMML010000046.1,1
GCA_011977405.1,AARITW010000032.1,1
GCA_011909345.1,ABKGTZ010000034.1,0
GCA_013781085.1,ABICHZ010000074.1,0
GCA_020390485.1,CATSFN010000031.1,0
GCA_011865785.1,AARAQH010000035.1,1
GCA_034539635.1,JAXRGJ010000138.1,1
GCA_017201275.1,AARLRT010000031.1,0
GCA_019879645.1,JACWWK010000359.1,0
GCA_028102585.1,AATQQV010000052.1,0
GCA_031731895.1,JAVMPS010000022.1,1
GCA_012219825.1,AASHPC010000120.1,0
GCA_012918645.2,KE375553.1,0
GCA_031835745.1,DADVSZ010000038.1,0
GCA_028334285.1,ABKKSF010000041.1,1
GCA_015226675.1,ABNDCG010000080.1,0
GCA_900016375.1,ABCAYF010000032.1,0
GCA_021488775.1,AARUKD010000031.1,0
GCA_023868905.1,AATGVJ010000053.1,0
GCA_020555255.1,ABDIZE010000055.1,1
GCA_023476505.1,JAMBZK010000170.1,1
GCA_032732305.1,ABNWPK010000033.1,1
GCA_012895195.1,AATLRN010000102.1,1
GCA_014700315.1,AASQDQ010000060.1,0
GCA_026207435.1,DAJWZP010000058.1,1
GCA_029870915.1,AAWJUR010000045.1,0
GCA_012096245.1,AARPZM010000065.1,1
GCA_030734855.1,ABNUNX010000031.1,0
GCA_012611745.1,DABROD010000036.1,0
GCA_958311525.1,CATRQN010000067.1,1
GCA_018357345.1,AAVRPY010000047.1,0
GCA_032413805.1,DAQBYV010000027.1,1
GCA_018322405.1,BHOK01000047.1,1
GCA_002190835.1,LYAA01001929.1,1
GCA_012228725.1,AASSAS010000062.1,0
GCA_023188475.1,JAKYNZ010000048.1,0
GCA_002972255.1,ABRVOR010000046.1,0
GCA_021439605.1,DAFLLC010000078.1,1
GCA_031233595.1,AATHWW010000076.1,0
GCA_012415205.1,AATFFW010000108.1,0
GCA_031449645.1,ABMGYS010000035.1,1
GCA_012196105.1,AATDRG010000039.1,0
GCA_030199785.1,JARIKZ010000061.1,1
GCA_004234445.2,AASDMZ010000093.1,0
GCA_008753445.1,VZID01000051.1,1
GCA_024494235.1,ABHICO010000031.1,1
GCA_028021905.1,AASVBW010000037.1,0
GCA_011873965.1,AARBEW010000057.1,1
GCA_012336335.1,ABLCIN010000035.1,0
GCA_024337595.1,AASPDK010000058.1,0
GCA_012635765.1,NONN01000085.1,0
GCA_013668855.1,ABKJHC010000034.1,0
GCA_036599365.1,ABKOZV010000036.1,0
GCA_012190005.1,AARWRX010000045.1,1
GCA_014623165.1,CAJDFR010000064.1,0
GCA_033748135.1,ABDJBO010000063.1,0
GCA_011848645.1,AASGGM010000077.1,0
GCA_026670475.1,ABJRHU010000034.1,1
GCA_003767465.2,ABAAMS010000056.1,0
GCA_011928475.1,AASMPW010000057.1,0
GCA_025253925.1,ABIHZS010000064.1,1
GCA_003418605.1,BEJL01000126.1,0
GCA_028197765.1,ABKJSH010000042.1,1
GCA_012363875.1,AARNPP010000029.1,0
GCA_012996845.1,AATOTB010000165.1,1
GCA_002516205.1,NJSH01000051.1,1
GCA_021194345.1,ABEHFX010000052.1,1
GCA_012231465.1,AATCKP010000061.1,0
GCA_023210655.1,JARIMF010000057.1,0
GCA_003858805.1,ABNFGJ010000048.1,0
GCA_020340595.1,AARIHE010000046.1,0
GCA_029478255.1,DAODSY010000046.1,1
GCA_019181925.1,CACSZR020000025.1,0
GCA_026028255.1,ABJDTC010000044.1,1
GCA_012609315.1,AASWKZ010000037.1,1
GCA_012421845.1,ABQYEM010000084.1,0
GCA_028030745.1,BGIV01000089.1,0
GCA_012175075.1,JSST01000082.1,0
GCA_032881245.1,ABOEAK010000061.1,1
GCA_027847395.1,ABKCTJ010000056.1,1
GCA_020318095.1,ABCYXH010000044.1,1
GCA_012686265.1,AATAQF010000036.1,1
GCA_032430915.1,ABNKOA010000067.1,0
GCA_016524475.1,AAYNCA010000097.1,1
GCA_033515675.1,AARRDM010000030.1,0
GCA_014347395.1,AAVQAU010000032.1,1
GCA_014709055.1,AAQZQZ010000033.1,0
GCA_026066235.1,ABLYIX010000036.1,0
GCA_028490525.1,DANFNP010000040.1,1
GCA_018344915.1,JAAMUH010000028.1,1
GCA_030980255.1,AAUNOP010000063.1,0
GCA_028034575.1,ABJREZ010000034.1,0
GCA_016985115.1,DADGNH010000141.1,1
GCA_024145265.1,ABGXZZ010000061.1,1
GCA_009775865.1,AASGPB010000034.1,0
GCA_026286375.1,DAJPQE010000049.1,0
GCA_017056575.1,DADIOL010000076.1,1
GCA_028633155.1,JAPUPW010000024.1,1
GCA_031541285.1,DAPKRL010000019.1,1
GCA_014436145.1,AAVVEG010000058.1,1
GCA_003738445.2,RLDN02000039.1,1
GCA_011883265.1,ABIFEA010000032.1,0
GCA_025663915.1,ABITJH010000030.1,1
GCA_033641245.1,ABOVEY010000036.1,1
GCA_001520495.1,LQTS01000179.1,1
GCA_013622355.1,AAXBQU010000033.1,0
GCA_017132255.1,JADAHU010000118.1,0
GCA_024394375.1,ABHFPL010000033.1,1
GCA_034479335.1,ABPNAW010000054.1,1
GCA_014072475.1,AARFMO010000039.1,0
GCA_032451275.1,DABUWY010000024.1,0
GCA_027726675.1,ABKBEU010000035.1,1
GCA_022957215.1,ABFTME010000043.1,1
GCA_014437225.1,JAODFN010000051.1,0
GCA_903977325.1,ABOEPA010000033.1,0
GCA_030474025.1,JASZOO010000070.1,1
GCA_025700065.1,SAFO01000048.1,0
GCA_011849645.1,CATVLJ010000006.1,0
GCA_020397465.1,ABCUNR010000033.1,0
GCA_014442015.1,AAVVOD010000067.1,1
GCA_037575485.1,ABCOKR010000032.1,0
GCA_023097495.1,JAMRDX010000127.1,0
GCA_013764165.1,AARBWO010000032.1,0
GCA_012139045.1,AAXEZR010000035.1,0
GCA_020949735.1,ABJISI010000058.1,0
GCA_032668005.1,AASZHX010000056.1,0
GCA_003793595.1,ROAT01000088.1,1
GCA_013075875.1,AATRDL010000058.1,1
GCA_012610705.1,ABNHVY020000028.1,0
GCA_001039145.2,ABAANC010000028.1,0
GCA_012194105.1,AASJUS010000041.1,0
GCA_022664555.1,JAKSXQ010000037.1,1
GCA_026473645.1,DAHJVB010000052.1,0
GCA_025173285.1,ABIFDT010000035.1,1
GCA_018505045.1,ABAPKJ010000031.1,1
GCA_012882315.1,DANAVZ010000054.1,0
GCA_012198215.1,AARXUJ010000063.1,1
GCA_018459505.1,RMHS02000055.1,0
GCA_026110335.1,ABJIAJ010000073.1,1
GCA_020290965.1,DAFADH010000022.1,1
GCA_036293865.1,RMHS02000055.1,0
GCA_024571505.1,ABHLAE010000097.1,1
GCA_019528155.1,ABBTKK010000074.1,1
GCA_012566325.1,AASTOF010000070.1,1
GCA_011865785.1,DAFTLJ010000063.1,0
GCA_019003105.1,AAXAGB010000030.1,0
GCA_011864265.1,ABOLFG010000032.1,0
GCA_011803205.1,AAQWIP010000038.1,1
GCA_015339925.1,ABHR01000053.1,0
GCA_002768165.1,ABGRBN010000065.1,0
GCA_012205845.1,AARYVA010000031.1,1
GCA_011811705.1,AAQWSU010000039.1,1
GCA_012730955.1,JAPZON010000104.1,0
GCA_035057785.1,ABKPHQ010000086.1,0
GCA_022482105.1,NOTZ01000043.1,0
GCA_018790715.1,JAHKFC010000074.1,1
GCA_024572335.1,ABHLBR010000013.1,1
GCA_031704095.1,JADOCE010000018.1,0
GCA_019464055.1,NJSI01000045.1,0
GCA_958327115.1,CATTYN010000033.1,1
GCA_019867465.1,ABCGVC010000085.1,1
GCA_024396235.1,ABFPUE010000007.1,0
GCA_958336805.1,AAQYWN010000052.1,0
GCA_019439445.1,ABBOQZ010000063.1,1
GCA_022506405.1,AARFSS010000058.1,0
GCA_012601295.1,AASVWI010000022.1,1
GCA_012529465.1,DAIVUU010000057.1,0
GCA_012657875.1,ABMOBC010000037.1,0
GCA_002538885.1,NMGS01000057.1,1
GCA_029829355.1,AAWOMM010000029.1,0
GCA_012999385.1,AAVVDG010000055.1,0
GCA_011858645.1,JZMV01000134.1,0
GCA_005041785.1,ABIOCQ010000036.1,0
GCA_902840925.1,SJHT01000018.1,0
GCA_012814815.1,AATQJK010000036.1,0
GCA_012557565.1,AASSZF010000020.1,1
GCA_005040305.1,RRON01000039.1,1
GCA_027795515.1,CADGCD010000045.1,0
GCA_946060405.1,CAMGOA010000046.1,1
GCA_025027025.1,ABIBEU010000081.1,1
GCA_023188435.1,CATSUG010000020.1,0
GCA_958337125.1,ABJNQS010000083.1,0
GCA_011849665.1,AAQZJZ010000032.1,1
GCA_018389195.1,ABNSTH020000066.1,0
GCA_024300325.1,ABLPWC010000037.1,0
GCA_012390715.1,AASJVJ010000055.1,1
GCA_003784365.1,RNTS01000097.1,1
GCA_024298345.1,DAIGFD010000045.1,1
GCA_025586275.1,ABIQLT010000047.1,1
GCA_008756995.1,AAUKOF010000062.1,0
GCA_013915795.1,AAUWKA010000056.1,1
GCA_958330625.1,CATULY010000012.1,1
GCA_012147585.1,JANGLY010000045.1,0
GCA_014243735.1,AAVLRF010000068.1,1
GCA_005043465.1,ABNLQO010000031.1,0
GCA_020010995.1,ABCNBL010000051.1,1
GCA_014437425.1,ABPSBA010000052.1,0
GCA_900195665.1,FZFK01000198.1,1
GCA_001440685.1,LKPL01000258.1,1
GCA_013044545.1,AATPEL010000096.1,1
GCA_012154645.1,AARUAV010000057.1,1
GCA_002134265.1,ABAMFW010000084.1,0
GCA_016403795.1,JAEKHR010000059.1,1
GCA_013128255.1,DAOWXV010000068.1,0
GCA_020304565.1,AATQZP010000056.1,0
GCA_012144025.1,CAJDSK010000019.1,0
GCA_026574135.1,ABJPPE010000033.1,1
GCA_025913835.1,ABJBXL010000076.1,1
GCA_011603145.1,ABAYYL010000033.1,0
GCA_036458665.1,BEQZ01000161.1,0
GCA_020317815.1,ABCYWW010000022.1,1
GCA_029283065.1,DANYVS010000021.1,1
GCA_011892225.1,AARDAY010000033.1,1
GCA_003741105.2,RLIY02000073.1,1
GCA_013037305.1,ABASYA010000030.1,0
GCA_020435465.1,ABDESQ010000031.1,1
GCA_000477495.2,AVQX01000089.1,1
GCA_958312385.1,CATRTW010000087.1,1
GCA_032429235.1,ABNLDB010000058.1,1
GCA_025438295.1,JAGGFK010000033.1,0
GCA_012621865.1,AASXGE010000070.1,1
GCA_025875965.1,DAJQJJ010000118.1,1
GCA_012469995.1,AASPDK010000058.1,1
GCA_037633235.1,JBBGIR010000047.1,1
GCA_019353215.1,ABBMMW010000029.1,1
GCA_012128855.1,DAJHXP010000050.1,0
GCA_017734375.1,DAKAEY010000053.1,0
GCA_025050045.1,AASRUW010000037.1,0
GCA_904842605.1,CAJGWL010000033.1,1
GCA_012501895.1,DAGUYG010000020.1,0
GCA_018770205.1,AAWQXH010000032.1,0
GCA_012087555.1,AATMES010000045.1,0
GCA_038015755.1,ABRPHR010000020.1,1
GCA_030907525.1,JAVFIO010000036.1,1
GCA_012091015.1,AARPPT010000032.1,1
GCA_013717285.1,AAUJWU010000064.1,1
GCA_020315095.1,ABCYRQ010000041.1,1
GCA_027220525.1,DAJAOV010000022.1,0
GCA_012005935.1,JARIKT010000056.1,0
GCA_017817575.1,AAXEVE010000033.1,0
GCA_032412685.1,DAQBYF010000066.1,1
GCA_020037395.1,JAIQHJ010000093.1,1
GCA_031731895.1,ABPDOD010000059.1,0
GCA_012489275.1,AASQFH010000058.1,1
GCA_032713705.1,ABNWAE010000055.1,1
GCA_011944185.1,RRTU01000099.1,0
GCA_012083695.1,AARPAR010000111.1,1
GCA_025608855.1,AARXHK010000082.1,0
GCA_014443555.1,JADCOJ010000062.1,0
GCA_023190235.1,AARCUU010000042.1,0
GCA_021650485.1,JAAKBW010000068.1,0
GCA_012731655.1,AARYNO010000029.1,0
GCA_012581755.1,AASUQU010000087.1,1
GCA_023677745.1,AARLNU010000074.1,0
GCA_016116265.1,JAGGFK010000033.1,0
GCA_012459045.1,DABTIS010000052.1,0
GCA_008326445.1,ABBQWV010000032.1,0
GCA_011934785.1,AARFNR010000032.1,1
GCA_002761685.1,PENR01000029.1,1
GCA_022051185.1,ABFAJQ010000030.1,1
GCA_012382815.1,AASJGU010000029.1,1
GCA_012459485.1,AASOJT010000063.1,1
GCA_911104065.1,CAJVJJ010000067.1,1
GCA_011969465.1,AARIMJ010000044.1,1
GCA_037635515.1,WSQT01000014.1,0
GCA_018459505.1,DAECDA010000048.1,1
GCA_012726535.1,AATDPN010000034.1,1
GCA_002465405.1,NJKI01000048.1,1
GCA_014709635.1,JAKWLB010000044.1,0
GCA_012493885.1,DADZZG010000006.1,0
GCA_014436425.1,AAVVDV010000058.1,1
GCA_011875205.1,AARBHF010000137.1,1
GCA_021493145.1,ABCSBH010000030.1,0
GCA_012212235.1,AARZGJ010000035.1,1
GCA_012048605.1,AASCDM010000114.1,0
GCA_011807705.1,AAQWRB010000068.1,1
GCA_015621185.1,DABVUG010000064.1,0
GCA_033859335.1,ABPEUW010000068.1,0
GCA_005046685.1,RRCZ01000072.1,1
GCA_038451615.1,AARTJH010000063.1,0
GCA_013481465.1,DADZZC010000061.1,0
GCA_027829075.1,AASPST010000034.1,0
GCA_031341675.1,ABMEEL010000031.1,1
GCA_001265815.1,CADHKT010000156.1,0
GCA_000462045.2,ABPFMJ010000045.1,0
GCA_020317935.1,AQEN01000015.1,0
GCA_012503935.1,JAJPAZ010000076.1,0
GCA_020323815.1,ABCZID010000026.1,1
GCA_000215685.3,AARFBX010000032.1,0
GCA_018956915.1,ABAXJC010000074.1,1
GCA_036953485.1,JAQOBR010000046.1,1
GCA_011890565.2,CATUSX010000012.1,0
GCA_017023195.1,AAYYQO010000032.1,1
GCA_038102025.1,ABARLJ010000030.1,0
GCA_011845765.1,AAQZFD010000066.1,1
GCA_023871125.1,JAMFGM010000074.1,1
GCA_012772875.1,AARPIP010000042.1,0
GCA_011932285.1,AARFIZ010000078.1,1
GCA_031230065.1,DAPHEG010000073.1,1
GCA_000264015.1,AAQXYV010000034.1,0
GCA_019230685.1,AARRTJ010000055.1,0
GCA_020690065.1,ABDOQP010000058.1,1
GCA_013133015.1,AATTEI010000058.1,1
GCA_029082805.1,JAEGJB010000050.1,1
GCA_033942965.1,ABQPCN010000032.1,0
GCA_011931345.1,ABLCIX010000036.1,0
GCA_002510965.1,NMID01000058.1,1
GCA_013044585.1,JAAUFP010000085.1,0
GCA_025037665.1,DAJAHV010000043.1,1
GCA_025160235.1,ABIEIN010000031.1,1
GCA_016991885.1,AASSUW010000083.1,0
GCA_017048855.1,AAVVPZ010000061.1,0
GCA_013551875.1,AATZXB010000032.1,1
GCA_025401035.1,ABILEL010000030.1,1
GCA_013126735.1,JAVMQJ010000022.1,0
GCA_012782095.1,AATGFT010000047.1,1
GCA_020604555.1,ABDFXK010000081.1,0
GCA_021749245.1,NOTZ01000043.1,0
GCA_014862585.1,JACZOI010000201.1,1
GCA_012725555.1,ABAFSJ010000040.1,0
GCA_022667955.1,AARSCY010000063.1,0
GCA_021721275.1,DAFSRW010000034.1,1
GCA_019528555.1,ABBTKY010000044.1,1
GCA_034508875.1,QFSO01000317.1,0
GCA_016988275.1,DADGQC010000064.1,1
GCA_011862025.1,AYQG01000069.1,0
GCA_031883615.1,DAPPPR010000110.1,1
GCA_025278195.1,DAJFXO010000115.1,1
GCA_020343095.1,ABDAHH010000018.1,1
GCA_025298475.1,ABPEUC010000031.1,0
GCA_012725355.1,AATDMA010000049.1,1
GCA_963896975.1,CAWQTG010000429.1,1
GCA_001265815.1,JHSD01000127.1,1
GCA_031645155.1,DAPMMQ010000063.1,1
GCA_014780975.1,AAWJMQ010000069.1,1
