host_accession	phage_contig	interaction
GCA_018159255.1	ABCCKX010000039.1	0
GCA_023801075.1	ABGQMR010000056.1	1
GCA_011903065.1	JBBPGN010000048.1	0
GCA_012145005.1	AARTJH010000063.1	1
GCA_002319165.1	NWAI01000076.1	1
GCA_026522595.1	AARCMB010000048.1	0
GCA_012481075.1	ABQLVB010000080.1	0
GCA_027986615.1	AARCBR010000029.1	0
GCA_012200045.1	ABBTZM010000074.1	0
GCA_958315905.1	CATSHL010000007.1	1
GCA_021861045.1	JAFCNN010000023.1	0
GCA_000249695.2	AIGA01000018.1	1
GCA_012714745.1	AATCON010000057.1	1
GCA_012555805.1	AASBOY010000063.1	0
GCA_023192415.1	AASPAR010000030.1	0
GCA_002521215.1	AARIFS010000049.1	0
GCA_012235055.1	AARWZM010000077.1	1
GCA_014185775.1	ABEFJU010000063.1	0
GCA_002319165.1	ABJOMH010000067.1	0
GCA_019867465.1	ABCGVC010000069.1	1
GCA_020820075.1	AARQER010000034.1	0
GCA_958429955.1	CAUAMB010000053.1	1
GCA_015160215.1	JAGUHT010000062.1	0
GCA_902847875.1	CADHIQ010000055.1	1
GCA_014436445.1	ABJIAJ010000071.1	0
GCA_002456435.1	NKDI01000040.1	1
GCA_000225085.2	AFDT01000020.1	1
GCA_028049655.1	DAMWIO010000079.1	1
GCA_958429675.1	CAUALC010000017.1	1
GCA_018175035.1	DADZZC010000026.1	1
GCA_018770005.1	AAQYFY010000042.1	0
GCA_000798515.1	ABPWYS010000046.1	0
GCA_012241335.1	PXHO01000053.1	0
GCA_005387065.1	BFQK01000139.1	1
GCA_028086395.1	ABKHGZ010000095.1	1
GCA_037967765.1	JBBPFW010000028.1	1
GCA_024772095.1	ABFIAG010000087.1	0
GCA_011854785.1	AATFKX010000071.1	0
GCA_014065605.1	AAVGOG010000029.1	1
GCA_034319165.1	JAXKXC010000043.1	1
GCA_958337245.1	CATVLJ010000032.1	1
GCA_028605695.1	BRXL01000034.1	0
GCA_030342625.1	ABBSCX010000083.1	0
GCA_001265885.1	ABPUSJ010000032.1	0
GCA_012297885.1	AASFPH010000053.1	1
GCA_000267105.1	ABFIUQ010000112.1	0
GCA_012051325.1	BEOA01000034.1	0
GCA_033648125.1	ABOVLS010000045.1	1
GCA_009880705.1	ABDZLD010000048.1	0
GCA_946415505.1	AAREIL010000028.1	0
GCA_029384635.1	DAOAJT010000043.1	1
GCA_012117135.1	AARRJP010000054.1	1
GCA_001608005.1	CAJSED010000030.1	0
GCA_020418585.1	JAIZLZ010000020.1	1
GCA_002972255.1	JZNW01000009.1	1
GCA_018600515.1	DAEGQU010000035.1	1
GCA_018160895.1	ABEGOL010000033.1	0
GCA_012808135.1	DABDTR010000042.1	1
GCA_034540895.1	JAXRDY010000776.1	1
GCA_009880655.1	WSKA01000017.1	1
GCA_012757435.1	ABOBFA010000041.1	0
GCA_023097785.1	AASIOI010000046.1	0
GCA_001030425.1	JALMBY010000038.1	0
GCA_028049825.1	DAMWIT010000030.1	1
GCA_032449175.1	ABNMJV010000056.1	1
GCA_034236275.1	JABEFU010000050.1	0
GCA_012145005.1	DAHBMN010000052.1	0
GCA_028086395.1	AASACD010000026.1	0
GCA_012690745.1	AATATM010000047.1	1
GCA_000936125.1	LM996640.1	1
GCA_001284005.1	AASURC010000060.1	0
GCA_002972075.1	JZOQ01000111.1	1
GCA_012117135.1	ABKCTJ010000056.1	0
GCA_000267185.1	AKMA01000019.1	1
GCA_026688895.1	DAKRJN010000135.1	1
GCA_000225125.2	AFDV01000043.1	1
GCA_016440945.1	LODF01000152.1	0
GCA_018683605.1	ABGQWQ010000035.1	0
GCA_033969905.1	ABCUEJ010000084.1	0
GCA_014709535.1	ABAXQK010000036.1	0
GCA_012663205.1	AASZMJ010000078.1	1
GCA_011876145.1	AARBJF010000067.1	1
GCA_002514955.1	NKME01000042.1	1
GCA_012500315.1	AATGAD010000118.1	0
GCA_002155385.1	AARRCO010000058.1	0
GCA_000478705.1	AWFJ01000109.1	1
GCA_000249135.2	AIEZ01000007.1	1
GCA_037981385.1	ABROWD010000064.1	1
GCA_018175035.1	NJWE01000096.1	0
GCA_910592685.1	CAJUZY010000039.1	1
GCA_000249095.2	AIEX01000029.1	1
GCA_958327115.1	AATVBC010000029.1	0
GCA_011889305.1	AARCHA010000049.1	1
GCA_011854785.1	AAQZUG010000134.1	1
GCA_000622775.2	JHLY01000106.1	1
GCA_015337145.1	DAPORN010000065.1	0
GCA_025880925.1	DAJQSS010000069.1	1
GCA_025881525.1	ABGUWN010000047.1	0
GCA_031584375.1	ABHVJM010000032.1	0
GCA_029586215.1	ABLJCR010000045.1	1
GCA_004171235.1	SAFQ01000017.1	1
GCA_002290955.1	NSEN01000467.1	1
GCA_012791535.1	DABDQM010000042.1	1
GCA_030390635.1	SYXE01000037.1	1
GCA_918379535.1	AAWLNL010000053.1	0
GCA_032814165.1	ABOAQM010000043.1	1
GCA_000781855.1	JAEGSP010000051.1	0
GCA_025522795.1	DAJLTS010000081.1	1
GCA_003591905.1	VZGX01000069.1	0
GCA_000951875.1	LM995706.1	1
GCA_021489295.1	DAFMGL010000061.1	1
GCA_015707615.1	AAXMAR010000146.1	1
GCA_035789735.1	AAQYRB010000042.1	0
GCA_038385665.1	ABRTXR010000074.1	1
GCA_001607765.1	AASIVP010000045.1	0
GCA_000267525.2	ABLRJC010000051.1	0
GCA_000627435.1	AASOLU010000031.1	0
GCA_014213745.1	AAVKYC010000046.1	1
GCA_000627435.1	JJLU01000060.1	1
GCA_012646845.1	DAHBTS010000050.1	0
GCA_014816205.1	AAQWOJ010000068.1	0
GCA_958337845.1	JACWYN010000198.1	0
GCA_032419845.1	AARRVE010000061.1	0
GCA_903976595.1	ABCOOK010000036.1	0
GCA_017687575.1	DADPSK010000044.1	1
GCA_009880475.1	WSJQ01000022.1	1
GCA_012493165.1	JHHW01000033.1	0
GCA_012198215.1	AAYOMO010000134.1	0
GCA_918361065.1	AASOQP010000032.1	0
GCA_000164455.1	GG773220.1	1
GCA_025492105.1	AAUEPI010000042.1	0
GCA_026227745.1	AARFAK010000054.1	0
GCA_018131525.1	ABKIIJ010000031.1	0
GCA_021721775.1	AAAAWK020000061.1	0
GCA_003113735.1	BDIH01000057.1	1
GCA_958331945.1	CATURA010000059.1	1
GCA_025089665.1	AARGIB010000082.1	0
GCA_012493165.1	AASQOS010000057.1	1
GCA_029384635.1	AAYOUB010000085.1	0
GCA_037515805.1	ABQYII010000036.1	1
GCA_012130275.1	ABHBNB010000048.1	0
GCA_005045625.1	DAPHII010000081.1	0
GCA_002546435.1	NNXT01000032.1	1
GCA_000779675.1	ABDNYT010000068.1	0
GCA_025700005.1	DAJOZK010000100.1	1
GCA_001283405.1	CYCB01000065.1	1
GCA_005387885.1	ABHGQD010000054.1	0
GCA_000752495.1	JAMENL010000017.1	0
GCA_012140705.1	ABFTLZ010000035.1	0
GCA_002226175.1	CAJVJO010000055.1	0
GCA_000447045.2	ABFJDK010000023.1	0
GCA_034530415.1	JAGEXP010000080.1	0
GCA_020910645.1	ABDXBO010000011.1	1
GCA_000503655.1	AYQG01000069.1	1
GCA_018600515.1	DAEGQU010000076.1	1
GCA_019003105.1	DAERCZ010000043.1	1
GCA_008756995.1	AARRTF010000077.1	0
GCA_001607975.1	AARRZY010000037.1	0
GCA_015707615.1	AARESX010000069.1	0
GCA_033766755.1	DAROCF010000070.1	1
GCA_011829775.1	ABIAFQ010000044.1	0
GCA_026360455.1	ABMRQP010000022.1	0
GCA_006350465.1	VETL01000068.1	1
GCA_025089665.1	ABICHZ010000089.1	1
GCA_011869105.1	AARAWV010000034.1	1
GCA_012200045.1	NLHS01000330.1	0
GCA_000179075.1	AATEWR010000091.1	0
GCA_037515805.1	DAIIQH010000064.1	0
GCA_012025425.1	AARLZC010000045.1	1
GCA_016742635.1	JAEPDZ010000114.1	1
GCA_032362265.1	ABNJDX010000060.1	1
GCA_900016365.1	FBUS01000040.1	1
GCA_014709535.1	JAKYHB010000016.1	0
GCA_001440685.1	AARTJH010000035.1	0
GCA_000304055.2	JH954800.1	1
GCA_020385455.1	ABISYR010000034.1	0
GCA_025121875.1	AASVBD010000033.1	0
GCA_029502805.1	DAOERP010000057.1	1
GCA_015160215.1	JADDSM010000019.1	1
GCA_036439915.1	ABQDCP010000034.1	1
GCA_000615345.1	AAZWCE010000037.1	0
GCA_012658675.1	AASZGY010000051.1	1
GCA_001284225.1	ABCXTE010000047.1	0
GCA_003980565.1	PNYT01000051.1	1
GCA_002517195.1	NOEN01000059.1	1
GCA_025754145.1	ABNMBW010000039.1	0
GCA_002548645.1	AARUBY010000034.1	0
GCA_023099245.1	JALMIM010000015.1	1
GCA_011814605.1	RMIE02000045.1	0
GCA_911103315.1	AAZTDU010000032.1	0
GCA_023734435.1	CAJRBL010000103.1	0
GCA_005387885.1	BFRZ01000019.1	1
GCA_012653325.1	AASYYS010000056.1	1
GCA_034534595.1	DAJLTS010000104.1	0
GCA_000780515.1	JSPL01000838.1	1
GCA_014807945.1	JAWPYA010000061.1	0
GCA_000326325.1	ABDQFU010000080.1	0
GCA_023366235.1	JARILC010000061.1	0
GCA_002510965.1	AAVVEZ010000055.1	0
GCA_011839185.1	AAQYRB010000021.1	1
GCA_033146075.1	ABOLFJ010000054.1	1
GCA_001615195.1	LVPH01000031.1	1
GCA_019867465.1	ABCGVC010000081.1	1
GCA_000461935.2	AVQR01000021.1	1
GCA_018170395.1	DABDQM010000036.1	0
GCA_002290925.1	NSEL01000191.1	1
GCA_001592545.1	BBUU01000054.1	1
GCA_958401535.1	CATXQA010000031.1	1
GCA_902841405.1	CADGJQ010000086.1	1
GCA_029446575.1	JALMBL010000044.1	0
GCA_001621545.1	DAEFQQ010000078.1	0
GCA_012060505.1	AARSPW010000080.1	0
GCA_021148205.1	ABEFJU010000063.1	1
GCA_000225085.2	AAREJJ010000031.1	0
GCA_001571885.1	JARGRQ010000018.1	0
GCA_030907525.1	AAROQI010000040.1	0
GCA_000164215.1	AASPHT010000115.1	0
GCA_019867465.1	ABIMCK010000038.1	0
GCA_012434855.1	AARDSJ010000076.1	0
GCA_033186495.1	DAQSUV010000076.1	1
GCA_011854785.1	ABBAXN010000030.1	0
GCA_001606385.1	LOGW01000113.1	1
GCA_008273915.1	VHKY01000023.1	1
GCA_026110335.1	AASNIV010000054.1	0
GCA_000418755.2	AARYZK010000031.1	0
GCA_002464705.1	NXMZ01000185.1	1
GCA_012416205.1	ABMSWU010000050.1	0
GCA_026688895.1	CAJQVW010000042.1	0
GCA_015699025.1	ABIEMC010000056.1	0
GCA_012506895.1	AARLZM010000045.1	0
GCA_023188615.1	ABNKOX010000043.1	0
GCA_036923515.1	JAYKFD010000045.1	1
GCA_000936125.1	AAADOK020000110.1	0
GCA_031654825.1	AARYDE010000054.1	0
GCA_030806355.1	DAOYHA010000097.1	1
GCA_009880495.1	WSJR01000022.1	1
GCA_005038665.1	JBBGMA010000062.1	0
GCA_958309145.1	CATRHI010000084.1	1
GCA_012676505.1	AARPBX010000056.1	0
GCA_001309775.1	AAQYFL010000075.1	0
GCA_033186495.1	SKDR01000091.1	0
GCA_012240545.1	AARWWK010000064.1	1
GCA_002461405.1	ABEQUS010000032.1	0
